model,variation,content,style,lpips,dinov2,psnr,ssim
DD,no_adapter,content1,style1,0.698044,0.633159,9.372189,0.284758
DD,no_adapter,content1,style2,0.745073,0.922817,8.991534,0.201150
DD,no_adapter,content1,style3,0.763068,0.850431,8.834942,0.267648
DD,no_adapter,content1,style4,0.672397,0.666404,10.618617,0.335078
DD,no_adapter,content1,style5,0.695450,0.285298,9.094754,0.120642
DD,no_adapter,content2,style1,0.710367,0.739559,10.224311,0.257948
DD,no_adapter,content2,style2,0.768912,0.916939,11.338637,0.169977
DD,no_adapter,content2,style3,0.732238,0.788090,11.066773,0.278306
DD,no_adapter,content2,style4,0.715684,0.655604,10.341990,0.164405
DD,no_adapter,content2,style5,0.745677,0.353687,9.816486,0.090671
DD,no_adapter,content3,style1,0.725865,0.622094,8.940605,0.282177
DD,no_adapter,content3,style2,0.849862,0.721167,9.310636,0.176032
DD,no_adapter,content3,style3,0.793028,0.843716,9.213741,0.227781
DD,no_adapter,content3,style4,0.744016,0.615166,9.950694,0.204454
DD,no_adapter,content3,style5,0.768562,0.375769,9.539531,0.136888
DD,no_adapter,content4,style1,0.678841,0.737981,8.196257,0.266760
DD,no_adapter,content4,style2,0.733881,0.977770,8.171556,0.134295
DD,no_adapter,content4,style3,0.785923,0.838418,8.278600,0.229694
DD,no_adapter,content4,style4,0.672236,0.632538,7.830981,0.177551
DD,no_adapter,content4,style5,0.657034,0.684093,7.276415,0.090982
DD,no_adapter,content5,style1,0.737510,0.631081,10.916802,0.256426
DD,no_adapter,content5,style2,0.663745,0.907781,11.303813,0.229149
DD,no_adapter,content5,style3,0.659752,0.848426,11.420220,0.279669
DD,no_adapter,content5,style4,0.615840,0.697694,11.595993,0.199590
DD,no_adapter,content5,style5,0.689094,0.410855,11.576363,0.097306
DD,only_ip_adapter,content1,style1,0.673584,0.478095,9.114228,0.241492
DD,only_ip_adapter,content1,style2,0.748933,0.307013,8.787633,0.142727
DD,only_ip_adapter,content1,style3,0.843084,0.640120,7.620996,0.143462
DD,only_ip_adapter,content1,style4,0.729847,0.298341,11.315797,0.186490
DD,only_ip_adapter,content1,style5,0.681331,0.143833,8.791002,0.126436
DD,only_ip_adapter,content2,style1,0.720333,0.404146,10.380281,0.196518
DD,only_ip_adapter,content2,style2,0.709724,0.290101,9.511944,0.122305
DD,only_ip_adapter,content2,style3,0.801989,0.675723,9.652164,0.135379
DD,only_ip_adapter,content2,style4,0.683344,0.317160,11.584116,0.138988
DD,only_ip_adapter,content2,style5,0.699359,0.160858,9.500591,0.098939
DD,only_ip_adapter,content3,style1,0.633471,0.411533,9.403691,0.250890
DD,only_ip_adapter,content3,style2,0.765309,0.288042,8.702206,0.102074
DD,only_ip_adapter,content3,style3,0.773074,0.703162,8.398551,0.131080
DD,only_ip_adapter,content3,style4,0.698090,0.364201,11.183640,0.165317
DD,only_ip_adapter,content3,style5,0.698829,0.172177,9.202072,0.152005
DD,only_ip_adapter,content4,style1,0.592553,0.535623,8.829061,0.270898
DD,only_ip_adapter,content4,style2,0.709207,0.236122,8.476527,0.128857
DD,only_ip_adapter,content4,style3,0.777821,0.766564,8.025272,0.186713
DD,only_ip_adapter,content4,style4,0.683785,0.312631,9.612839,0.130064
DD,only_ip_adapter,content4,style5,0.661693,0.193709,7.587399,0.124034
DD,only_ip_adapter,content5,style1,0.729757,0.383401,10.301280,0.172234
DD,only_ip_adapter,content5,style2,0.709886,0.252203,9.966782,0.101418
DD,only_ip_adapter,content5,style3,0.734925,0.601718,10.368544,0.118441
DD,only_ip_adapter,content5,style4,0.738128,0.348026,11.420038,0.142524
DD,only_ip_adapter,content5,style5,0.639156,0.205345,11.029160,0.136945
DD,only_controlnet,content1,style1,0.708390,0.884460,6.040762,0.231808
DD,only_controlnet,content1,style2,0.769161,0.804563,7.121744,0.270782
DD,only_controlnet,content1,style3,0.777156,0.918434,7.464581,0.243509
DD,only_controlnet,content1,style4,0.668579,0.664985,8.545120,0.323548
DD,only_controlnet,content1,style5,0.770179,0.747351,8.117735,0.273984
DD,only_controlnet,content2,style1,0.580433,0.933946,7.437126,0.264645
DD,only_controlnet,content2,style2,0.693656,0.810678,8.829847,0.249414
DD,only_controlnet,content2,style3,0.641233,0.707658,10.303752,0.317408
DD,only_controlnet,content2,style4,0.551085,0.693028,10.690929,0.291608
DD,only_controlnet,content2,style5,0.626560,0.787124,9.584583,0.266081
DD,only_controlnet,content3,style1,0.537444,0.983416,9.813076,0.420119
DD,only_controlnet,content3,style2,0.601943,1.000382,10.007837,0.404677
DD,only_controlnet,content3,style3,0.621083,0.910626,9.679215,0.359144
DD,only_controlnet,content3,style4,0.497841,0.943319,10.446608,0.405625
DD,only_controlnet,content3,style5,0.561024,0.971663,11.127083,0.411848
DD,only_controlnet,content4,style1,0.544369,0.813929,6.934506,0.266845
DD,only_controlnet,content4,style2,0.625449,0.902164,6.953402,0.218552
DD,only_controlnet,content4,style3,0.721609,1.006191,6.932556,0.211965
DD,only_controlnet,content4,style4,0.554684,0.607073,7.488488,0.237047
DD,only_controlnet,content4,style5,0.589561,0.874240,7.264736,0.237138
DD,only_controlnet,content5,style1,0.669847,0.841127,10.803248,0.252202
DD,only_controlnet,content5,style2,0.780445,0.887104,9.445897,0.243832
DD,only_controlnet,content5,style3,0.651094,0.821257,11.039884,0.295155
DD,only_controlnet,content5,style4,0.616604,0.686879,10.568398,0.293623
DD,only_controlnet,content5,style5,0.683649,0.597440,10.325454,0.247940
DD,controlnet_ip_adapter,content1,style1,0.697054,0.620969,6.191959,0.141498
DD,controlnet_ip_adapter,content1,style2,0.774492,0.771312,7.259535,0.166382
DD,controlnet_ip_adapter,content1,style3,0.856895,0.821821,5.996605,0.132650
DD,controlnet_ip_adapter,content1,style4,0.739926,0.519328,9.343848,0.257503
DD,controlnet_ip_adapter,content1,style5,0.721925,0.365958,9.312749,0.252925
DD,controlnet_ip_adapter,content2,style1,0.591567,0.739186,7.365094,0.211277
DD,controlnet_ip_adapter,content2,style2,0.692218,0.789221,7.966595,0.158142
DD,controlnet_ip_adapter,content2,style3,0.722813,0.435794,7.009850,0.146317
DD,controlnet_ip_adapter,content2,style4,0.576089,0.641042,11.147417,0.285337
DD,controlnet_ip_adapter,content2,style5,0.569313,0.751566,10.870166,0.265546
DD,controlnet_ip_adapter,content3,style1,0.594041,0.903889,8.134326,0.213984
DD,controlnet_ip_adapter,content3,style2,0.718793,0.947266,8.728526,0.230343
DD,controlnet_ip_adapter,content3,style3,0.726032,0.899308,7.886099,0.191982
DD,controlnet_ip_adapter,content3,style4,0.615165,0.835408,11.297099,0.346824
DD,controlnet_ip_adapter,content3,style5,0.666263,0.700825,9.951639,0.288842
DD,controlnet_ip_adapter,content4,style1,0.567057,0.597677,5.833898,0.165526
DD,controlnet_ip_adapter,content4,style2,0.691034,0.827624,6.342115,0.146009
DD,controlnet_ip_adapter,content4,style3,0.811485,1.015690,5.550359,0.129765
DD,controlnet_ip_adapter,content4,style4,0.599993,0.546290,8.341226,0.227924
DD,controlnet_ip_adapter,content4,style5,0.669654,0.691994,7.912040,0.223477
DD,controlnet_ip_adapter,content5,style1,0.671963,0.565883,10.305111,0.197149
DD,controlnet_ip_adapter,content5,style2,0.773800,0.853745,9.901259,0.181234
DD,controlnet_ip_adapter,content5,style3,0.828385,0.846428,9.040365,0.151560
DD,controlnet_ip_adapter,content5,style4,0.701656,0.599423,9.471006,0.215326
DD,controlnet_ip_adapter,content5,style5,0.650369,0.399452,10.936411,0.235386
